"","Id","Date","CDs","Price"
"1","1",1997-01-01,2,29.33
"2","1",1997-01-18,2,29.73
"3","1",1997-08-02,1,14.96
"4","1",1997-12-12,2,26.48
"5","10",1997-01-01,2,30.32
"6","100",1997-01-05,1,16.99
"7","100",1997-06-21,2,26.22
"8","1000",1997-02-07,1,9.97
"9","1000",1997-03-13,1,13.77
"10","1000",1997-04-28,1,13.77
"11","1000",1997-06-04,1,10.77
"12","1000",1997-07-28,2,26.73
"13","1000",1998-01-10,2,27.98
"14","1000",1998-01-16,1,25.49
"15","1000",1998-05-09,2,28.48
"16","1001",1997-02-07,1,38.77
"17","1002",1997-02-07,1,11.77
"18","1003",1997-02-07,3,59.34
"19","1003",1997-08-13,3,68.31
"20","1004",1997-02-07,2,27.94
"21","1005",1997-02-07,2,27.53
"22","1005",1997-03-06,1,15.76
"23","1006",1997-02-07,1,14.37
"24","1007",1997-02-08,11,119.55
"25","1008",1997-02-08,1,36.77
"26","1008",1997-02-18,1,20.99
"27","1008",1997-10-28,1,16.49
"28","1008",1997-11-06,1,16.49
"29","1008",1997-12-06,5,104.95
"30","1008",1997-12-13,1,28.99
"31","1009",1997-02-08,1,11.77
"32","101",1997-01-06,5,62.45
"33","101",1997-02-13,1,12.49
"34","101",1997-05-05,1,6.79
"35","101",1997-05-26,1,6.79
"36","101",1997-08-13,3,37.31
"37","101",1997-09-16,2,23.98
"38","101",1997-11-17,2,15.48
"39","101",1997-11-20,1,14.49
"40","101",1997-12-10,1,14.99
"41","101",1998-06-03,2,24.48
"42","1010",1997-02-08,10,154.18
"43","1010",1997-03-25,1,41.9
"44","1010",1997-03-26,7,98.61
"45","1010",1997-06-19,13,255.35
"46","1010",1997-06-20,1,11.77
"47","1010",1997-07-06,15,207.02
"48","1011",1997-02-08,3,35.23
"49","1011",1997-05-17,3,64.01
"50","1011",1997-06-20,3,41.69
"51","1011",1997-11-06,4,49.96
"52","1011",1998-01-09,2,26.98
"53","1011",1998-03-02,3,34.94
"54","1011",1998-03-15,1,25.49
"55","1012",1997-02-08,1,29.99
"56","1012",1997-12-04,1,12.99
"57","1013",1997-02-08,1,13.97
"58","1013",1998-03-17,1,14.42
"59","1014",1997-02-08,1,32.99
"60","1015",1997-02-08,2,24.73
"61","1015",1997-03-01,2,26.14
"62","1015",1997-04-19,3,37.91
"63","1015",1997-08-09,4,56.92
"64","1016",1997-02-08,2,28.74
"65","1017",1997-02-08,1,10.78
"66","1017",1997-02-20,1,9.98
"67","1017",1997-02-22,1,10.78
"68","1017",1997-03-28,2,19.55
"69","1017",1997-04-04,1,9.98
"70","1017",1997-04-26,1,10.78
"71","1017",1997-05-05,1,9.98
"72","1017",1997-06-16,1,9.98
"73","1017",1997-07-07,2,20.76
"74","1017",1997-07-21,1,9.98
"75","1017",1997-07-28,2,20.76
"76","1017",1997-09-02,1,10.78
"77","1017",1997-09-23,1,10.99
"78","1017",1997-10-10,1,10.99
"79","1017",1997-10-11,1,10.99
"80","1017",1997-10-17,1,11.99
"81","1017",1997-10-21,3,32.97
"82","1017",1998-01-22,1,12.49
"83","1017",1998-01-26,2,21.98
"84","1017",1998-02-11,2,21.98
"85","1017",1998-03-01,2,22.48
"86","1017",1998-03-08,1,11.99
"87","1017",1998-04-21,2,14.98
"88","1017",1998-05-07,1,13.99
"89","1017",1998-05-11,3,34.97
"90","1017",1998-06-24,2,21.98
"91","1018",1997-02-08,1,24.77
"92","1018",1997-04-13,4,49.48
"93","1018",1998-01-10,4,62.46
"94","1018",1998-03-04,4,81.03
"95","1018",1998-05-22,2,21.87
"96","1019",1997-02-08,1,9.97
"97","102",1997-01-06,1,19.99
"98","1020",1997-02-08,1,17.7
"99","1021",1997-02-08,2,41.14
"100","1021",1997-06-22,1,29.6
"101","1021",1997-07-08,1,29.6
"102","1022",1997-02-08,1,19.97
"103","1023",1997-02-08,1,11.77
"104","1024",1997-02-08,2,28.67
"105","1025",1997-02-08,3,42.9
"106","1025",1998-01-05,3,43.97
"107","1025",1998-02-26,2,25.57
"108","1025",1998-04-17,2,23.76
"109","1026",1997-02-08,1,15.96
"110","1027",1997-02-08,1,17.99
"111","1028",1997-02-08,1,14.96
"112","1028",1997-10-22,2,20.48
"113","1029",1997-02-08,1,43.99
"114","103",1997-01-06,4,34.74
"115","1030",1997-02-08,1,11.77
"116","1031",1997-02-08,10,153.16
"117","1032",1997-02-08,1,12.97
"118","1033",1997-02-08,1,20.99
"119","1033",1997-11-08,1,21.49
"120","1033",1998-03-21,2,33.98
"121","1033",1998-06-18,1,14.49
"122","1034",1997-02-08,1,14.37
"123","1035",1997-02-08,1,17.9
"124","1036",1997-02-08,1,20.99
"125","1037",1997-02-08,1,19.7
"126","1037",1997-02-12,2,35.76
"127","1037",1997-03-13,2,41.98
"128","1037",1997-04-14,2,43.94
"129","1037",1997-05-19,1,11.77
"130","1037",1997-11-09,1,12.99
"131","1037",1998-01-06,3,43.47
"132","1037",1998-01-23,1,16.99
"133","1038",1997-02-09,1,11.77
"134","1038",1997-07-21,3,57.5
"135","1039",1997-02-09,1,22.3
"136","1039",1997-04-11,1,28.99
"137","104",1997-01-06,1,22.7
"138","1040",1997-02-09,1,11.77
"139","1041",1997-02-09,3,51.7
"140","1041",1997-12-06,7,117.43
"141","1042",1997-02-09,1,11.77
"142","1042",1997-04-01,1,9.77
"143","1042",1997-05-12,1,10.98
"144","1042",1997-06-15,2,24.75
"145","1043",1997-02-09,1,12.49
"146","1044",1997-02-09,1,12.77
"147","1044",1997-09-30,1,19.49
"148","1045",1997-02-09,1,9.99
"149","1046",1997-02-09,5,162.04
"150","1046",1997-02-13,1,13.97
"151","1047",1997-02-09,4,50.88
"152","1048",1997-02-09,3,44.7
"153","1049",1997-02-09,1,9.97
"154","105",1997-01-06,6,79.21
"155","105",1997-06-24,7,92.8
"156","1050",1997-02-09,1,15.36
"157","1051",1997-02-09,5,61.68
"158","1051",1997-04-29,1,14.79
"159","1051",1997-07-01,1,8.97
"160","1051",1997-07-05,1,13.97
"161","1051",1997-08-03,2,28.74
"162","1051",1997-10-19,1,13.99
"163","1051",1997-11-14,1,46.99
"164","1052",1997-02-09,5,74.95
"165","1052",1997-11-03,4,61.96
"166","1052",1997-12-16,1,14.49
"167","1052",1998-02-13,2,30.48
"168","1052",1998-06-11,6,74.33
"169","1053",1997-02-09,4,61.47
"170","1054",1997-02-09,1,14.37
"171","1054",1997-02-11,1,19.99
"172","1054",1997-06-23,1,13.97
"173","1054",1998-02-26,1,15.49
"174","1055",1997-02-09,1,28.99
"175","1056",1997-02-09,3,33.31
"176","1056",1997-05-07,3,42.69
"177","1056",1997-06-08,2,29.33
"178","1056",1997-08-16,3,52.91
"179","1056",1997-09-18,2,30.48
"180","1056",1997-09-23,2,27.48
"181","1056",1997-10-05,5,78.45
"182","1056",1998-01-01,4,52.46
"183","1056",1998-01-15,1,11.99
"184","1056",1998-04-09,4,49.63
"185","1056",1998-06-27,4,59.39
"186","1057",1997-02-09,3,42.9
"187","1058",1997-02-09,3,54.97
"188","1058",1997-04-21,2,40.48
"189","1058",1997-06-22,3,42.17
"190","1058",1997-07-31,3,118.72
"191","1058",1997-10-24,1,35.49
"192","1058",1998-01-14,1,35.49
"193","1059",1997-02-09,8,150.66
"194","1059",1997-02-10,1,11.99
"195","106",1997-01-06,3,52.3
"196","106",1997-02-18,3,52.3
"197","1060",1997-02-09,4,57.59
"198","1061",1997-02-09,1,9.77
"199","1062",1997-02-09,1,14.77
"200","1062",1997-02-24,3,41.92
"201","1062",1997-05-02,2,25.74
"202","1062",1997-05-12,1,14.96
"203","1063",1997-02-09,1,13.97
"204","1064",1997-02-09,4,86.6
"205","1065",1997-02-09,2,27.94
"206","1066",1997-02-09,1,20.99
"207","1067",1997-02-10,6,90.56
"208","1068",1997-02-10,1,14.37
"209","1069",1997-02-10,2,39.75
"210","107",1997-01-06,6,125.82
"211","1070",1997-02-10,4,57.9
"212","1071",1997-02-10,1,22.99
"213","1071",1997-02-24,1,12.77
"214","1071",1997-03-10,1,13.97
"215","1072",1997-02-10,2,21.76
"216","1073",1997-02-10,2,27.73
"217","1074",1997-02-10,1,15.36
"218","1075",1997-02-10,1,15.99
"219","1075",1997-03-05,1,19.99
"220","1075",1997-03-16,1,12.49
"221","1075",1998-04-03,1,12.49
"222","1076",1997-02-10,1,13.97
"223","1076",1997-05-06,3,37.71
"224","1076",1997-05-16,1,11.77
"225","1076",1997-06-25,1,11.77
"226","1077",1997-02-10,1,15.36
"227","1078",1997-02-10,2,22.74
"228","1079",1997-02-10,3,40.7
"229","108",1997-01-06,2,32.98
"230","1080",1997-02-10,1,0
"231","1081",1997-02-10,5,60.64
"232","1081",1997-02-13,7,98.5
"233","1081",1997-02-22,7,105.76
"234","1081",1997-02-25,7,98.16
"235","1081",1997-03-09,6,85.21
"236","1081",1997-03-26,8,112.51
"237","1081",1997-04-07,9,119.71
"238","1081",1997-05-16,7,96.95
"239","1081",1997-06-02,7,110.18
"240","1081",1997-07-28,10,128.69
"241","1081",1997-07-30,6,96.74
"242","1081",1997-09-22,9,119.41
"243","1081",1997-10-29,9,116.91
"244","1081",1997-12-16,9,118.91
"245","1081",1998-02-11,7,72.82
"246","1081",1998-05-17,6,83.94
"247","1082",1997-02-10,1,13.97
"248","1083",1997-02-10,1,13.97
"249","1084",1997-02-10,1,12.77
"250","1084",1997-02-11,3,80.31
"251","1084",1997-02-26,1,15.36
"252","1085",1997-02-10,1,27.3
"253","1086",1997-02-10,1,26.99
"254","1086",1997-06-23,1,9.98
"255","1087",1997-02-10,2,26.98
"256","1088",1997-02-10,4,69.96
"257","1088",1997-02-17,4,74.96
"258","1088",1997-03-03,1,19.99
"259","1088",1997-03-16,3,73.7
"260","1088",1997-07-04,5,91.83
"261","1088",1997-08-02,5,64.42
"262","1088",1997-08-03,1,14.37
"263","1088",1997-08-30,5,127.64
"264","1088",1997-10-07,1,55.49
"265","1088",1997-10-29,3,39.47
"266","1088",1997-12-07,6,75.44
"267","1088",1997-12-18,2,20.98
"268","1088",1998-01-03,1,13.99
"269","1088",1998-01-17,9,101.41
"270","1088",1998-02-18,1,11.49
"271","1088",1998-02-28,2,31.98
"272","1088",1998-03-13,3,53.36
"273","1089",1997-02-10,1,11.77
"274","109",1997-01-06,2,27.13
"275","109",1997-01-08,3,39.09
"276","1090",1997-02-10,1,12.97
"277","1091",1997-02-10,1,17.96
"278","1091",1997-06-23,1,5.99
"279","1092",1997-02-10,1,12.49
"280","1093",1997-02-10,1,12.49
"281","1093",1997-03-24,3,39.94
"282","1093",1997-04-14,1,12.49
"283","1093",1997-05-05,1,27.75
"284","1094",1997-02-10,1,12.49
"285","1095",1997-02-10,2,19.54
"286","1095",1997-03-13,2,17.75
"287","1095",1997-08-25,5,45.49
"288","1096",1997-02-10,3,37.71
"289","1097",1997-02-10,2,30.53
"290","1097",1997-02-24,1,14.37
"291","1098",1997-02-10,2,15.54
"292","1099",1997-02-10,1,6.79
"293","1099",1997-02-18,2,13.58
"294","1099",1997-04-09,2,28.34
"295","1099",1997-05-06,1,14.99
"296","1099",1997-08-04,1,13.77
"297","11",1997-01-01,1,18.99
"298","11",1997-01-27,1,14.37
"299","11",1997-02-01,1,9.77
"300","11",1997-03-02,1,15.99
"301","11",1997-05-04,3,47.33
"302","11",1997-06-21,3,59.74
"303","11",1997-11-11,2,32.98
"304","110",1997-01-06,3,42.49
"305","110",1997-11-08,2,29.48
"306","1100",1997-02-11,1,17.7
"307","1100",1997-04-09,1,17.7
"308","1100",1997-05-29,1,17.7
"309","1100",1997-12-08,1,17.7
