Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$30-$39,22.9714,1,21.4733,24.5581
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$40-$49,22.0458,2,20.8561,23.6957
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$30-$39,21.2632,3,19.7091,22.7131
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,20.3375,4,19.1019,21.9071
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$30-$39,20.2724,5,18.8517,21.7301
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$30-$39,19.895,6,18.2545,21.7147
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$40-$49,19.3467,7,18.1318,20.9066
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$60-$69,19.3136,8,17.9344,20.9071
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$40-$49,18.9693,9,17.3675,20.8772
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$30-$39,18.8271,10,17.3525,20.2301
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$30-$39,18.7735,11,17.0867,20.5381
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$30-$39,18.6815,12,17.1175,20.1198
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$30-$39,18.5641,13,17.1224,20.0548
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Low foam,$30-$39,18.1867,14,16.7402,19.8839
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$40-$49,17.9014,15,16.4578,19.4775
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$30-$39,17.8569,16,16.2025,19.5091
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$40-$49,17.8478,17,16.5196,19.5593
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$40-$49,17.7559,18,16.5625,18.9383
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$30-$39,17.755,19,16.2558,19.2003
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,17.6385,20,16.3977,19.1926
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$60-$69,17.6053,21,16.0433,19.2305
Pale color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,17.4866,22,15.939,19.1118
Pale color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$30-$39,17.4454,23,16.0992,18.8193
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Low foam,$40-$49,17.261,24,15.8619,18.9648
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$30-$39,17.1959,25,15.7208,18.9587
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Low foam,$30-$39,17.1188,26,15.5224,18.5223
Pale color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,17.0751,27,15.6381,18.4702
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Low foam,$30-$39,17.0652,28,15.3665,18.7862
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$30-$39,16.9732,29,15.2808,18.4145
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$50-$59,16.8506,30,15.4893,18.3774
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,16.8294,31,15.5657,18.4147
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$30-$39,16.7905,32,15.1073,18.4434
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$60-$69,16.6146,33,15.2028,18.2356
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,High foam,$30-$39,16.5584,34,14.9171,18.2515
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$40-$49,16.2703,35,14.7686,18.1956
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$60-$69,16.2371,36,14.7978,17.9851
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,16.1931,37,14.8178,17.8134
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,16.1396,38,14.8354,17.7805
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$30-$39,16.1281,39,14.6958,17.5329
